Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min
intraday_wind_and_solar_forecast - Solar_t-105min,0.00720952570337613,0.002568759179061544,0.003470729226784897,0.0016972782777529573,0.004859092266211519,0.0022468177676089455,0.0012906776623894983,0.0062759351446802615,0.004006505622259283,0.003136373607434507
wind_and_solar_forecast - Wind Onshore_t-105min,0.0017772585102711674,0.002312823435132827,0.004725054885806912,0.002227740659932124,0.005261636624664789,0.0024015434908978934,0.0042028078118937625,0.0028490508355616838,0.004404391682148344,0.0014451479170930952
wind_and_solar_forecast - Wind Offshore_t-105min,0.0021258036311842263,0.0027919912618708624,0.0021598040450066945,0.004083230661144398,0.0015242927185475424,0.001401899636121243,0.0023953114386513334,0.0017437563774846865,0.0033380566646337684,0.003401197968714257
intraday_wind_and_solar_forecast - Wind Onshore_t-90min,0.0034891111301112686,0.0014324425645036172,0.0017578776983946227,0.001543433973356514,0.0012479351928402736,0.0024048472537178895,0.0024818822859565444,0.0012127341746881938,0.0015849639625866985,0.0012104880236452119
wind_and_solar_forecast - Solar_t-90min,0.0018947832888884478,0.002931527262184318,0.002850171842207601,0.0023841422146679177,0.0020411050253896974,0.004513584269247076,0.002720991484637125,0.003857370323194118,0.004268499947407691,0.0053094313963811144
intraday_wind_and_solar_forecast - Wind Offshore_t-90min,0.0027993107755055462,0.0021672798025540486,0.0037508697389275767,0.003521481993643647,0.002326974874632924,0.0016988947573734095,0.0034641993014083708,0.00504406529642256,0.005547710824910609,0.008331142208800884
intraday_wind_and_solar_forecast - Solar_t-90min,0.0017249927803494529,0.0026359530165009346,0.0022845855089180986,0.002210235194375855,0.0018125134197416628,0.004881166172679514,0.006494062701953226,0.0062758010875541,0.006944179553349386,0.005423685433479022
wind_and_solar_forecast - Wind Onshore_t-90min,0.0017875234959956287,0.0017025385363331224,0.0019314606410957822,0.002952386613407725,0.0018441205648787218,0.0036093021929773385,0.0017008739029197386,0.001540976241259159,0.004217164696378859,0.00291411387256494
wind_and_solar_forecast - Wind Offshore_t-90min,0.002979507796077087,0.001956380459807406,0.0024651686204215364,0.00863972019130597,0.0016298501273786315,0.0013115552058748107,0.0020376411621537043,0.004114424802822441,0.0026092220178488786,0.0015194637740587496
intraday_wind_and_solar_forecast - Wind Onshore_t-75min,0.0011959847831298873,0.002740780818058738,0.0029763017553553935,0.0015467726828828745,0.003263558057894215,0.00393125231534259,0.002667135530546261,0.0033789165384390573,0.0021624197489854852,0.0018943390911854295
wind_and_solar_forecast - Solar_t-75min,0.003234539579333159,0.0026662870015024963,0.0039044673748430798,0.003197421555015808,0.002077967771221097,0.0022138885587773983,0.002521741079893218,0.0021167862939509663,0.005278578589233802,0.0038205500134063184
intraday_wind_and_solar_forecast - Wind Offshore_t-75min,0.0045425998295213505,0.0035564116526584258,0.005563866150041576,0.0029637470057238035,0.0033368967652295397,0.0027652136650713147,0.0026023229623942826,0.0021539279479748075,0.0036517969308888496,0.0036937174563699956
intraday_wind_and_solar_forecast - Solar_t-75min,0.005304900880744754,0.0019837498852753013,0.00616041298361597,0.0031272051935875424,0.0012882750573205612,0.001269966742960264,0.0011147608070636466,0.0014715580179397705,0.001825689046901971,0.0029147292991231095
wind_and_solar_forecast - Wind Onshore_t-75min,0.007101512846542392,0.006978008318699722,0.005481710382977326,0.004157305481818184,0.0014622688732879396,0.004454042902070796,0.0015568889167607268,0.0015151417620108986,0.0017560226020577828,0.003913986921933428
wind_and_solar_forecast - Wind Offshore_t-75min,0.0020325754698460514,0.0021370708551676216,0.0014718806842975028,0.002714402243741006,0.005483219378911599,0.0029369371800770524,0.0031918310428695803,0.0029701268654070247,0.003294368225842845,0.0018690256607706032
intraday_wind_and_solar_forecast - Wind Onshore_t-60min,0.0017283172988386468,0.0017035864055255842,0.0011839841300080706,0.001596101438277401,0.0020635984611083132,0.00313911850688055,0.001646316752862731,0.002506565141448732,0.0030681397988446407,0.0024576028767287427
wind_and_solar_forecast - Solar_t-60min,0.007666018368006917,0.0029313048136082216,0.006886157753629959,0.003906814452820981,0.0022880165401638806,0.005712991250919003,0.003427069769551963,0.00667582840475734,0.004677641191850853,0.0016836880875107454
intraday_wind_and_solar_forecast - Wind Offshore_t-60min,0.004034023114290903,0.0026371806398319676,0.005581121699338837,0.004020809228539292,0.0032033329360413062,0.003937205312500737,0.0030207943621608137,0.002682880366055542,0.00258727458220892,0.0016143349737592417
intraday_wind_and_solar_forecast - Solar_t-60min,0.0023615547444878755,0.003080648697840843,0.005125579165276576,0.0030279640271728566,0.0019115219515515492,0.0018435939473674808,0.0019181466163244352,0.0017700691675295276,0.0024023904773741835,0.0016017319283764663
wind_and_solar_forecast - Wind Onshore_t-60min,0.002860875469959865,0.0034480914457199105,0.002692743923872513,0.00314387999696919,0.004004762191872487,0.002854175895613025,0.0014573568426304747,0.0033486797804102935,0.0017328219830560557,0.002615692490615402
wind_and_solar_forecast - Wind Offshore_t-60min,0.0016756332501252017,0.0024275418828601687,0.002404048254211375,0.0012239832495188239,0.0030901033558602647,0.0014774574775779001,0.0026029870508700696,0.002223167220137839,0.0017122889888214559,0.0017233469445104674
intraday_wind_and_solar_forecast - Wind Onshore_t-45min,0.0017725362745479743,0.0013303099749548436,0.0020713825999350774,0.001958798796109022,0.0012244807425040563,0.002332164771587486,0.0015813623454960179,0.0019103085077912282,0.00266024035821647,0.0022046576995981013
wind_and_solar_forecast - Solar_t-45min,0.0020622071823454464,0.0020070121325418172,0.0011125330642460084,0.0017564111816964214,0.0012735622868049177,0.0024088192380768304,0.001468593223230755,0.001417492944006881,0.003695247427173399,0.0030941978807859415
intraday_wind_and_solar_forecast - Wind Offshore_t-45min,0.0038872968919595225,0.0031948332926349395,0.0030152577806948104,0.004177974753172748,0.004846042676495017,0.002354088904274249,0.0014343202515738084,0.002320255204129353,0.003399134641505043,0.0022091395163879495
intraday_wind_and_solar_forecast - Solar_t-45min,0.00151570431235632,0.0018108990638675095,0.0016995326268042846,0.002676276193788453,0.0030104801148481786,0.0019407966644632779,0.0017848875231138664,0.002625983098325378,0.005207709707010508,0.003049351504767401
wind_and_solar_forecast - Wind Onshore_t-45min,0.0047589184660100725,0.005293174823151276,0.0075751821770081735,0.0037377688294509426,0.004767730414481776,0.003507437827567628,0.0030460319867379438,0.0025716969191271347,0.004214827707565291,0.006396295626434494
wind_and_solar_forecast - Wind Offshore_t-45min,0.002814129095674616,0.00519755886109408,0.002344722675692992,0.00294129790027273,0.00477715461617754,0.002645686905065304,0.0036425734641507006,0.005431386376381852,0.0027324603253982786,0.007134188852658554
intraday_wind_and_solar_forecast - Wind Onshore_t-30min,0.0028038846608305903,0.002856374991066332,0.0018662483634216188,0.0017033155371450448,0.0013732694765985797,0.004504297565797969,0.001730338431646487,0.0025331651323076583,0.0033013811188920953,0.0014732906144681692
wind_and_solar_forecast - Solar_t-30min,0.0031112222389201635,0.00427828745507577,0.002178428030520081,0.0019311955530033629,0.0030503351437000674,0.0017261875076083014,0.0016348034267293769,0.0017275281364514399,0.0027475327003940037,0.002229862853229861
intraday_wind_and_solar_forecast - Wind Offshore_t-30min,0.002195950289499706,0.006412704363443481,0.0025601869518468447,0.004223088765966168,0.0027421867946295607,0.0028590434926827582,0.00393339948926041,0.0019295650856902284,0.002376607679110748,0.0026060203113278816
intraday_wind_and_solar_forecast - Solar_t-30min,0.002012498307810574,0.0020384507796725303,0.003928857363718634,0.0037042911942771753,0.0023167602922130755,0.0031267317218107563,0.0017286112950660026,0.0014373986226687522,0.0025185654309625534,0.0010947178012133633
wind_and_solar_forecast - Wind Onshore_t-30min,0.00457261792706322,0.0032919233521549814,0.003970500167723912,0.004110049236373015,0.003907791391795399,0.0025198436484133706,0.0021818578132870243,0.0034826236314693232,0.0021480616310273035,0.005018579225537906
wind_and_solar_forecast - Wind Offshore_t-30min,0.0018653730853307024,0.0019786832534628047,0.003457727897845871,0.0025500360962348624,0.0016674574313146878,0.0014861149472171747,0.0017058383094254168,0.002051825191865646,0.002588015293211356,0.0015480115184354872
intraday_wind_and_solar_forecast - Wind Onshore_t-15min,0.0031220645726184556,0.002662067831184402,0.0021066227810533746,0.004861986049454572,0.0018819789499139007,0.0035833741714186543,0.0016895102466041863,0.0017684945774486779,0.001762139171470153,0.0019592619160894173
wind_and_solar_forecast - Solar_t-15min,0.0028146905580379096,0.005269217343713536,0.006025792044980335,0.00406792398669495,0.00489985397963676,0.0075774242659390435,0.006792193415473321,0.0038553275268495783,0.0018293379298293076,0.0025811275161356662
intraday_wind_and_solar_forecast - Wind Offshore_t-15min,0.012510529949133343,0.007468449230858824,0.0063243356173770734,0.00984776968965889,0.00911747969402859,0.006267405835355021,0.008708930192158732,0.004833162174661993,0.0067800327466393355,0.006708224982783576
intraday_wind_and_solar_forecast - Solar_t-15min,0.009543439729215607,0.007719445193250067,0.00765991150001355,0.00577948968030978,0.005311386608475004,0.004449782112951653,0.006861820409653774,0.0032233242741349388,0.003713311162170612,0.004966069158501341
wind_and_solar_forecast - Wind Onshore_t-15min,0.0035417389484341585,0.003697747723548673,0.0038340803151168073,0.0043725255039692,0.002719944175090859,0.0019160746505590396,0.002276013472673185,0.00595010655356964,0.004209198096625187,0.005185058892416009
